CODIGO;ANO;SENADOR;QTDE_TIPO_DESPESA;QTDE_FORNECEDOR;UF;PARTIDO;DATA_NASC;IDADE;SEXO;VALOR_REEMBOLSADO;QTDE_MATERIAS_PUB;QTDE_TIPO_MATERIA
3634;2012;FLEXA RIBEIRO;7;47;PA;PSDB;12/09/1945;73;M;321084,05;80;7
3634;2014;FLEXA RIBEIRO;5;39;PA;PSDB;12/09/1945;73;M;386931,72;61;9
3634;2013;FLEXA RIBEIRO;5;41;PA;PSDB;12/09/1945;73;M;304058,78;116;13
3634;2011;FLEXA RIBEIRO;7;44;PA;PSDB;12/09/1945;73;M;335215,16;84;12
3634;2015;FLEXA RIBEIRO;6;30;PA;PSDB;12/09/1945;73;M;350582,62;201;13
3634;2016;FLEXA RIBEIRO;7;34;PA;PSDB;12/09/1945;73;M;364022,34;76;11
765;2012;FRANCISCO DORNELLES;5;65;RJ;PP;07/01/1935;84;M;373371,23;49;8
765;2014;FRANCISCO DORNELLES;4;11;RJ;PP;07/01/1935;84;M;364418,53;14;4
765;2013;FRANCISCO DORNELLES;4;42;RJ;PP;07/01/1935;84;M;373481,24;62;9
765;2011;FRANCISCO DORNELLES;5;79;RJ;PP;07/01/1935;84;M;291635,44;46;7
4935;2012;GARIBALDI ALVES;3;38;RN;MDB;27/05/1923;95;M;120200,7;18;2
4935;2014;GARIBALDI ALVES;2;5;RN;MDB;27/05/1923;95;M;9184,99;7;2
4935;2013;GARIBALDI ALVES;3;27;RN;MDB;27/05/1923;95;M;132692,42;5;2
4935;2011;GARIBALDI ALVES;3;23;RN;MDB;27/05/1923;95;M;65530,24;6;3
4522;2011;GEOVANI BORGES;3;15;AP;MDB;16/05/1953;65;M;315031,42;15;4
3392;2011;GERALDO MESQUITA JÚNIOR;1;2;AC;MDB;06/11/1948;70;M;793,25;;
28;2011;GERSON CAMATA;4;29;ES;MDB;29/06/1941;77;M;4589,98;;
3626;2011;GILBERTO GOELLNER;1;13;MT;DEM;09/02/1947;72;M;5370,85;;
30;2011;GILVAM BORGES;3;5;AP;MDB;01/08/1958;60;M;44730;4;3
4776;2012;GIM ARGELLO;4;10;DF;PTB;05/04/1962;56;M;252144,47;72;8
4776;2014;GIM ARGELLO;2;4;DF;PTB;05/04/1962;56;M;247450;46;7
4776;2013;GIM ARGELLO;3;10;DF;PTB;05/04/1962;56;M;232960,74;82;10
4776;2011;GIM ARGELLO;3;5;DF;PTB;05/04/1962;56;M;240467,43;37;7
5006;2017;GLEISI HOFFMANN;6;192;PR;PT;06/09/1965;53;F;376432,98;97;10
5006;2014;GLEISI HOFFMANN;6;52;PR;PT;06/09/1965;53;F;238601,58;35;5
5006;2011;GLEISI HOFFMANN;6;138;PR;PT;06/09/1965;53;F;64112,77;33;10
5006;2015;GLEISI HOFFMANN;6;154;PR;PT;06/09/1965;53;F;366922,79;113;10
5006;2016;GLEISI HOFFMANN;5;139;PR;PT;06/09/1965;53;F;343444,72;85;10
1179;2011;HÉLIO COSTA;4;28;MG;PMDB;17/08/1939;79;M;12466,28;;
740;2011;HERÁCLITO FORTES;4;14;PI;PSB;01/08/1950;68;M;15000;;
740;2015;;;;;;;;;;1;1
5008;2017;HUMBERTO COSTA;6;223;PE;PT;07/07/1957;61;M;431928,93;96;10
5008;2012;HUMBERTO COSTA;7;450;PE;PT;07/07/1957;61;M;411800,24;55;6
5008;2014;HUMBERTO COSTA;6;171;PE;PT;07/07/1957;61;M;386731,86;93;9
5008;2013;HUMBERTO COSTA;7;326;PE;PT;07/07/1957;61;M;357477,73;100;13
5008;2011;HUMBERTO COSTA;6;266;PE;PT;07/07/1957;61;M;287177,26;107;11
5008;2015;HUMBERTO COSTA;6;155;PE;PT;07/07/1957;61;M;415062,91;140;7
5008;2016;HUMBERTO COSTA;6;189;PE;PT;07/07/1957;61;M;433763,14;114;11
613;2012;INÁCIO ARRUDA;6;70;CE;PCDOB;05/05/1957;61;M;351549,52;65;9
613;2014;INÁCIO ARRUDA;6;69;CE;PCDOB;05/05/1957;61;M;348355,43;82;11
613;2013;INÁCIO ARRUDA;6;81;CE;PCDOB;05/05/1957;61;M;409769,3;113;11
613;2011;INÁCIO ARRUDA;6;64;CE;PCDOB;05/05/1957;61;M;294303,59;82;9
613;2015;INÁCIO ARRUDA;5;24;CE;PCDOB;05/05/1957;61;M;32604,19;;
5004;2017;IVO CASSOL;6;68;RO;PP;20/01/1959;60;M;410696,19;44;4
5004;2012;IVO CASSOL;6;220;RO;PP;20/01/1959;60;M;415256,7;53;5
5004;2014;IVO CASSOL;6;123;RO;PP;20/01/1959;60;M;292140,19;27;5
5004;2013;IVO CASSOL;6;148;RO;PP;20/01/1959;60;M;415382,4;52;8
5004;2011;IVO CASSOL;5;114;RO;PP;20/01/1959;60;M;204838,18;25;5
5004;2015;IVO CASSOL;5;91;RO;PP;20/01/1959;60;M;415182,4;84;10
5004;2016;IVO CASSOL;6;130;RO;PP;20/01/1959;60;M;413382,4;41;6
4937;2012;IVONETE DANTAS;3;58;RN;MDB;16/08/1959;59;M;35294,97;2;2
4937;2014;IVONETE DANTAS;4;74;RN;MDB;16/08/1959;59;M;227841,06;19;3
4937;2011;IVONETE DANTAS;3;23;RN;MDB;16/08/1959;59;M;11133,19;;
4937;2015;IVONETE DANTAS;4;11;RN;MDB;16/08/1959;59;M;18459,62;;
4545;2012;JARBAS VASCONCELOS;7;54;PE;MDB;23/08/1942;76;M;297441,61;35;3
4545;2014;JARBAS VASCONCELOS;5;52;PE;MDB;23/08/1942;76;M;309039,31;35;5
4545;2013;JARBAS VASCONCELOS;5;56;PE;MDB;23/08/1942;76;M;316669,97;61;5
4545;2011;JARBAS VASCONCELOS;6;53;PE;MDB;23/08/1942;76;M;258118,17;18;3
4545;2015;JARBAS VASCONCELOS;5;22;PE;MDB;23/08/1942;76;M;21775,93;;
4531;2012;JAYME CAMPOS;5;30;MT;DEM;13/09/1951;67;M;225470,44;58;4
4531;2014;JAYME CAMPOS;4;21;MT;DEM;13/09/1951;67;M;162756,4;49;9
4531;2013;JAYME CAMPOS;5;35;MT;DEM;13/09/1951;67;M;178676,92;51;7
4531;2011;JAYME CAMPOS;6;35;MT;DEM;13/09/1951;67;M;183046,05;26;5
4531;2015;JAYME CAMPOS;2;2;MT;DEM;13/09/1951;67;M;7991,79;;
4792;2011;JEFFERSON PRAIA;2;4;AM;PSDB;31/05/1959;59;M;1234,92;;
950;2017;JOÃO ALBERTO SOUZA;5;10;MA;MDB;01/10/1935;83;M;315466,87;18;4
950;2012;JOÃO ALBERTO SOUZA;4;7;MA;MDB;01/10/1935;83;M;68560,43;3;2
950;2014;JOÃO ALBERTO SOUZA;5;11;MA;MDB;01/10/1935;83;M;336811,3;16;4
950;2013;JOÃO ALBERTO SOUZA;6;9;MA;MDB;01/10/1935;83;M;427631,11;15;4
950;2011;JOÃO ALBERTO SOUZA;4;14;MA;MDB;01/10/1935;83;M;258346,96;2;1
950;2015;JOÃO ALBERTO SOUZA;5;8;MA;MDB;01/10/1935;83;M;275077,72;40;5
950;2016;JOÃO ALBERTO SOUZA;4;7;MA;MDB;01/10/1935;83;M;196745,37;5;2
3394;2017;JOÃO CAPIBERIBE;6;50;AP;PSB;06/05/1947;71;M;509948,87;56;7
3394;2012;JOÃO CAPIBERIBE;6;132;AP;PSB;06/05/1947;71;M;448980,13;42;9
3394;2014;JOÃO CAPIBERIBE;7;77;AP;PSB;06/05/1947;71;M;395256,93;46;7
3394;2013;JOÃO CAPIBERIBE;7;129;AP;PSB;06/05/1947;71;M;487372,71;77;12
3394;2011;JOÃO CAPIBERIBE;5;15;AP;PSB;06/05/1947;71;M;35886,78;3;2
3394;2015;JOÃO CAPIBERIBE;6;74;AP;PSB;06/05/1947;71;M;513999,08;172;11
3394;2016;JOÃO CAPIBERIBE;6;60;AP;PSB;06/05/1947;71;M;502997,57;70;9
4537;2012;JOÃO DURVAL;6;44;BA;PDT;08/05/1929;89;M;305857,34;24;3
4537;2014;JOÃO DURVAL;6;41;BA;PDT;08/05/1929;89;M;351133,08;10;3
4537;2013;JOÃO DURVAL;6;73;BA;PDT;08/05/1929;89;M;341691,8;32;5
4537;2011;JOÃO DURVAL;6;50;BA;PDT;08/05/1929;89;M;300252,9;16;5
4537;2015;JOÃO DURVAL;3;6;BA;PDT;08/05/1929;89;M;17998,64;;
3593;2011;JOÃO FAUSTINO;2;10;RN;PSDB;16/07/1942;76;M;9447,8;;
4774;2011;JOÃO PEDRO;6;74;AM;PT;14/09/1952;66;M;65268,25;19;6
916;2012;JOÃO RIBEIRO;3;19;TO;PR;25/06/1954;64;M;291259,81;13;3
