CD_SENADOR;NM_UF;NM_SENADOR;AN_ELEICAO;SG_PARTIDO;QT_VOTACAO_NOMINAL;QT_POPULACAO_UF;CS_SEXO;AN_REFERENCIA;QT_TIPO_DESPESA;QT_FORNECEDOR;DT_NASC;QT_ANOS_IDADE;VL_REEMBOLSADO;QT_MATERIAS_PUBL;QT_RELATORIA;QT_COMISSOES;QT_MEDIA_DIAS_COMISSAO
72;PR;ROBERTO REQUIÃO DE MELLO E SILVA;2010;PMDB;2691557;11320892;MASCULINO;2015;7;148;05/03/1941;78;373661,75;85;13;8;348,4
72;PR;ROBERTO REQUIÃO DE MELLO E SILVA;2010;PMDB;2691557;11320892;MASCULINO;2016;7;89;05/03/1941;78;309428,14;45;6;1;42
72;PR;ROBERTO REQUIÃO DE MELLO E SILVA;2010;PMDB;2691557;11320892;MASCULINO;2017;6;80;05/03/1941;78;354075,14;52;13;4;13
72;PR;ROBERTO REQUIÃO DE MELLO E SILVA;2010;PMDB;2691557;11320892;MASCULINO;2013;7;241;05/03/1941;78;350101,54;58;26;11;454,85714
72;PR;ROBERTO REQUIÃO DE MELLO E SILVA;2010;PMDB;2691557;11320892;MASCULINO;2012;7;208;05/03/1941;78;339696,23;61;15;2;522
72;PR;ROBERTO REQUIÃO DE MELLO E SILVA;2010;PMDB;2691557;11320892;MASCULINO;2014;7;179;05/03/1941;78;334187,38;52;16;;
73;RR;ROMERO JUCA FILHO;2010;PMDB;118481;522636;MASCULINO;2011;7;83;30/11/1954;64;355829,47;56;51;10;709,36364
73;RR;ROMERO JUCA FILHO;2010;PMDB;118481;522636;MASCULINO;2016;6;32;30/11/1954;64;446448,98;33;29;7;139,33333
73;RR;ROMERO JUCA FILHO;2010;PMDB;118481;522636;MASCULINO;2014;6;37;30/11/1954;64;374984,18;40;59;6;114,33333
73;RR;ROMERO JUCA FILHO;2010;PMDB;118481;522636;MASCULINO;2015;6;42;30/11/1954;64;486574,44;108;92;20;419,2
73;RR;ROMERO JUCA FILHO;2010;PMDB;118481;522636;MASCULINO;2013;6;41;30/11/1954;64;342656,66;57;51;19;409,47619
73;RR;ROMERO JUCA FILHO;2010;PMDB;118481;522636;MASCULINO;2017;6;48;30/11/1954;64;483935,67;80;26;5;114,4
73;RR;ROMERO JUCA FILHO;2010;PMDB;118481;522636;MASCULINO;2012;7;35;30/11/1954;64;387397,03;54;53;7;250,71429
111;MT;BLAIRO BORGES MAGGI;2010;PR;1073039;3344544;MASCULINO;2014;4;16;29/05/1956;62;71008,47;19;29;14;151,21429
111;MT;BLAIRO BORGES MAGGI;2010;PR;1073039;3344544;MASCULINO;2015;6;24;29/05/1956;62;154411,42;166;50;19;263,69565
111;MT;BLAIRO BORGES MAGGI;2010;PR;1073039;3344544;MASCULINO;2011;5;61;29/05/1956;62;147846,28;60;42;12;332,70588
111;MT;BLAIRO BORGES MAGGI;2010;PR;1073039;3344544;MASCULINO;2013;6;37;29/05/1956;62;216752,81;72;23;16;246,52941
111;MT;BLAIRO BORGES MAGGI;2010;PR;1073039;3344544;MASCULINO;2016;5;16;29/05/1956;62;108393,18;25;3;;
111;MT;BLAIRO BORGES MAGGI;2010;PR;1073039;3344544;MASCULINO;2012;6;44;29/05/1956;62;135990,85;64;24;12;369,76471
391;MG;AÉCIO NEVES DA CUNHA;2010;PSDB;7565377;21119536;MASCULINO;2013;4;70;10/03/1960;59;285341,44;101;;;
391;MG;AÉCIO NEVES DA CUNHA;2010;PSDB;7565377;21119536;MASCULINO;2011;4;22;10/03/1960;59;180990,41;46;20;10;397,83333
391;MG;AÉCIO NEVES DA CUNHA;2010;PSDB;7565377;21119536;MASCULINO;2016;6;38;10/03/1960;59;295335,85;48;;;
391;MG;AÉCIO NEVES DA CUNHA;2010;PSDB;7565377;21119536;MASCULINO;2015;5;34;10/03/1960;59;268011,78;98;2;3;213,5
391;MG;AÉCIO NEVES DA CUNHA;2010;PSDB;7565377;21119536;MASCULINO;2012;4;38;10/03/1960;59;252715,42;58;13;;
391;MG;AÉCIO NEVES DA CUNHA;2010;PSDB;7565377;21119536;MASCULINO;2017;7;39;10/03/1960;59;213285,69;12;3;1;126
391;MG;AÉCIO NEVES DA CUNHA;2010;PSDB;7565377;21119536;MASCULINO;2014;4;22;10/03/1960;59;214075,14;21;1;;
558;AM;VANESSA GRAZZIOTIN;2010;PC DO B;672920;4063614;FEMININO;2017;6;61;29/06/1961;57;503429,09;261;22;12;175,91667
558;AM;VANESSA GRAZZIOTIN;2010;PC DO B;672920;4063614;FEMININO;2016;6;58;29/06/1961;57;477079,76;166;13;2;256,5
558;AM;VANESSA GRAZZIOTIN;2010;PC DO B;672920;4063614;FEMININO;2014;6;68;29/06/1961;57;487593,41;283;39;11;158,18182
558;AM;VANESSA GRAZZIOTIN;2010;PC DO B;672920;4063614;FEMININO;2011;6;162;29/06/1961;57;383584,68;266;40;22;688,76923
558;AM;VANESSA GRAZZIOTIN;2010;PC DO B;672920;4063614;FEMININO;2013;6;128;29/06/1961;57;515969,34;288;51;12;408,83333
558;AM;VANESSA GRAZZIOTIN;2010;PC DO B;672920;4063614;FEMININO;2012;6;115;29/06/1961;57;399513,35;263;36;11;543,90909
558;AM;VANESSA GRAZZIOTIN;2010;PC DO B;672920;4063614;FEMININO;2015;6;64;29/06/1961;57;515107,17;298;26;25;465,28571
